Title,Description,Status,Label/Epic
"Epic 0: Foundation (Legacy/Setup)","Hệ thống nền tảng cho việc tích hợp camera và thiết lập ban đầu.","In Progress","Epic 0"
"Story 0-10: Integrate Camera System","Tích hợp hệ thống camera hồng ngoại vào luồng xử lý chính.","In Progress","Epic 0"
"Epic 1: Core System & Visual Perception","Khởi tạo, thu nhận video và thực hiện nhận diện khuôn mặt, mắt, đầu cơ bản.","In Progress","Epic 1"
"Story 1-1: Project Scaffolding and Video Capture Setup","Thiết lập cấu trúc thư mục và capture luồng video từ camera IR.","Ready for Dev","Epic 1"
"Story 1-2: Image Pre-processing Pipeline","Tiền xử lý khung hình (grayscale, contrast) cho các module nhận diện.","Backlog","Epic 1"
"Story 1-3: Face Detection and Tracking","Phát hiện và theo dõi khuôn mặt tài xế trong thời gian thực.","Backlog","Epic 1"
"Story 1-4: Facial Landmark Extraction","Trích xuất 68 điểm mốc khuôn mặt để phân tích mắt và miệng.","Backlog","Epic 1"
"Story 1-5: Head Pose Estimation","Ước tính tư thế đầu (pitch, yaw, roll) để xác định hướng nhìn.","Backlog","Epic 1"
"Story 1-6: Eye and Mouth Feature Tracking (EAR & MAR)","Tính toán chỉ số EAR và MAR để phát hiện buồn ngủ và ngáp.","Backlog","Epic 1"
"Epic 2: State Analysis & Alerting System","Phân tích mức độ buồn ngủ, mất tập trung và đưa ra các cảnh báo vật lý.","Backlog","Epic 2"
"Story 2-1: Drowsiness Level Assessment","Đánh giá mức độ buồn ngủ dựa trên EAR và tần suất ngáp.","Backlog","Epic 2"
"Story 2-2: Distraction Level Assessment","Đánh giá mức độ mất tập trung dựa trên tư thế đầu và hướng nhìn.","Backlog","Epic 2"
"Story 2-3: Microsleep Event Detection","Phát hiện các sự kiện ngủ gật ngắn (mắt đóng > 1 giây).","Backlog","Epic 2"
"Story 2-4: Alert Hierarchy Management","Quản lý phân cấp cảnh báo (Critical, High, Medium, Info).","Backlog","Epic 2"
"Story 2-5: Physical and Visual Alert Triggering","Kích hoạt âm thanh, đèn LED và giao diện cảnh báo.","Backlog","Epic 2"
"Epic 3: Specific Dangerous Activity Recognition","Tích hợp các mô hình AI phát hiện 7 hành vi nguy hiểm cụ thể.","Backlog","Epic 3"
"Story 3-1: Phone Usage Detection","Nhận diện hành vi sử dụng điện thoại khi lái xe.","Backlog","Epic 3"
"Story 3-2: Drinking/Eating Recognition","Phát hiện hành vi ăn uống khi đang điều khiển xe.","Backlog","Epic 3"
"Story 3-3: Smoking Detection","Phát hiện hành vi hút thuốc trong cabin.","Backlog","Epic 3"
"Story 3-4: Yawning Activity Recognition","Nhận diện hành vi ngáp như một hoạt động độc lập.","Backlog","Epic 3"
"Story 3-5: Hands-Off Wheel Detection","Phát hiện khi tay tài xế không đặt trên vô lăng.","Backlog","Epic 3"
"Story 3-6: Hands Out Window Detection","Phát hiện khi tay tài xế vươn ra ngoài cửa sổ.","Backlog","Epic 3"
"Story 3-7: Looking at Navigation Device Detection","Phát hiện khi tài xế nhìn quá lâu vào thiết bị định vị.","Backlog","Epic 3"
"Epic 4: Data Logging & Evidence Management","Ghi nhật ký sự kiện và lưu trữ hình ảnh bằng chứng vào SQLite.","Backlog","Epic 4"
"Story 4-1: SQLite Database Integration","Lưu trữ các sự kiện cảnh báo vào cơ sở dữ liệu SQLite cục bộ.","Backlog","Epic 4"
"Story 4-2: Evidence Image Capture","Lưu ảnh chụp JPEG cho các cảnh báo mức độ Critical.","Backlog","Epic 4"
"Story 4-3: History Review UI","Giao diện xem lại lịch sử cảnh báo và hình ảnh bằng chứng.","Backlog","Epic 4"
"Epic 5: UI & Configuration Management","Cung cấp bảng điều khiển Dashboard và giao diện cài đặt cấu hình.","Backlog","Epic 4"
"Story 5-1: Real-time Monitoring Dashboard","Hiển thị video trực tiếp với các lớp phủ nhận diện (face box, landmarks).","Backlog","Epic 5"
"Story 5-2: Configuration Loading and Management (YAML)","Tải các ngưỡng cấu hình từ tệp YAML.","Backlog","Epic 5"
"Story 5-3: Settings UI for Threshold Tuning","Giao diện điều chỉnh ngưỡng nhạy của hệ thống (khi xe dừng).","Backlog","Epic 5"
"Story 5-4: System Status and Health Dashboard","Hiển thị các thông số hiệu suất hệ thống (FPS, CPU, Nhiệt độ).","Backlog","Epic 5"
