Type,Title,Description,Status,Parent
"Epic","Epic 1: Core System & Visual Perception","Hệ thống lõi và nhận diện thị giác cơ bản.","In Progress",""
"Story","Story 1.1: Project Scaffolding and Video Capture Setup","Thiết lập cấu trúc và capture luồng video từ camera IR.","Ready for Dev","Epic 1"
"Task","Task 1: Project Scaffolding","Thiết lập cấu trúc thư mục và các tệp cấu hình ban đầu.","To Do","Story 1.1"
"Subtask","Subtask 1.1: Create missing directories","Tạo các thư mục src/detection_layer, src/analysis_layer, ...","To Do","Task 1"
"Subtask","Subtask 1.2: Create src/requirements.txt","Cài đặt phiên bản thư viện: opencv, dlib, numpy, ...","To Do","Task 1"
"Subtask","Subtask 1.3: Create src/utils/logging.py","Khởi tạo module logging cho hệ thống.","To Do","Task 1"
"Subtask","Subtask 1.4: Create src/config/config.yaml","Thiết lập các thông số mặc định (640x480, 15 FPS).","To Do","Task 1"
"Task","Task 2: Video Capture Implementation","Triển khai mã nguồn để đọc dữ liệu từ camera.","To Do","Story 1.1"
"Subtask","Subtask 2.1: Refactor video_capture.py","Cập nhật mã nguồn capture để khớp với kiến trúc.","To Do","Task 2"
"Subtask","Subtask 2.2: Implement src/main.py","Tạo điểm khởi đầu cho hệ thống.","To Do","Task 2"
"Subtask","Subtask 2.3: Implement error handling","Xử lý lỗi kết nối camera và ghi log.","To Do","Task 2"
"Task","Task 3: Performance Validation","Kiểm tra và xác thực hiệu suất hệ thống.","To Do","Story 1.1"
"Subtask","Subtask 3.1: Add FPS counter","Thêm bộ đếm khung hình để xác thực mục tiêu 15 FPS.","To Do","Task 3"
"Story","Story 1.2: Image Pre-processing Pipeline","Tiền xử lý khung hình cho các module nhận diện.","Backlog","Epic 1"
"Story","Story 1.3: Face Detection and Tracking","Phát hiện và theo dõi khuôn mặt tài xế.","Backlog","Epic 1"
"Story","Story 1.4: Facial Landmark Extraction","Trích xuất 68 điểm mốc khuôn mặt.","Backlog","Epic 1"
"Story","Story 1.5: Head Pose Estimation","Ước tính tư thế đầu (pitch, yaw, roll).","Backlog","Epic 1"
"Story","Story 1.6: Eye and Mouth Feature Tracking","Tính toán EAR và MAR.","Backlog","Epic 1"
